"dataset","configuration","seed","logit_source","calibration","temperature","test_samples","accuracy_pct","ece15_pct","nll","multiclass_brier","aurc"
"NPD-Rice-COCO-43","flat","2032","native_manifest_val_test_logits","raw","1.0","9333","99.3035465552341","0.4485014044729025","0.026891663976730068","0.011589048368042627","8.740527121813358e-05"
"NPD-Rice-COCO-43","flat","2032","native_manifest_val_test_logits","temperature_scaled","1.53643169428916","9333","99.3035465552341","0.21205961162032685","0.021789118190689807","0.01091141065862415","8.730379526193588e-05"
"NPD-Rice-COCO-43","flat","2033","native_manifest_val_test_logits","raw","1.0","9333","99.31426122361513","0.4503620754129899","0.027708465400215945","0.011546586309623592","0.00010096290215943751"
"NPD-Rice-COCO-43","flat","2033","native_manifest_val_test_logits","temperature_scaled","1.5188242821088085","9333","99.31426122361513","0.18183448820671033","0.022910410581225418","0.010934637415511664","0.00010148918101280863"
"NPD-Rice-COCO-43","flat","2034","native_manifest_val_test_logits","raw","1.0","9333","99.50712525447337","0.3097530483204782","0.023122655691279363","0.008614104772099743","8.194709783482433e-05"
"NPD-Rice-COCO-43","flat","2034","native_manifest_val_test_logits","temperature_scaled","1.4556079623650182","9333","99.50712525447337","0.1774118998843926","0.01956195898358246","0.00843104005781142","8.897147030171326e-05"
"NPD-Rice-COCO-43","flat","2035","native_manifest_val_test_logits","raw","1.0","9333","99.41069323904426","0.3612454534791926","0.02328082944486282","0.008923370261242684","6.0123202986817425e-05"
"NPD-Rice-COCO-43","flat","2035","native_manifest_val_test_logits","temperature_scaled","1.6861071541090542","9333","99.41069323904426","0.10723605791418854","0.018348585410443406","0.008375157689511118","6.3619985428832e-05"
"NPD-Rice-COCO-43","dual_none","2026","native_manifest_val_test_logits","raw","1.0","9333","99.34640522875817","0.4092721731911599","0.029443626556017153","0.011156779051403207","0.0002340062995200711"
"NPD-Rice-COCO-43","dual_none","2026","native_manifest_val_test_logits","temperature_scaled","1.4838896133195574","9333","99.34640522875817","0.2327385255093589","0.02351989746135987","0.010688551538344498","0.00022452610550532815"
"NPD-Rice-COCO-43","dual_none","2027","native_manifest_val_test_logits","raw","1.0","9333","99.4535519125683","0.3681286679500082","0.023932791029947924","0.009145463880992332","0.0001813052675310791"
"NPD-Rice-COCO-43","dual_none","2027","native_manifest_val_test_logits","temperature_scaled","1.584796474863837","9333","99.4535519125683","0.10546999128428552","0.019195155666655226","0.008660308133705328","0.0001829155896075408"
"NPD-Rice-COCO-43","dual_none","2028","native_manifest_val_test_logits","raw","1.0","9333","99.43212257580628","0.3482851231558083","0.02728934754367714","0.009927589376549844","0.0005071379201712332"
