"dataset","comparison","candidate","reference","seed","metric","direction_of_improvement","candidate_value_pct","reference_value_pct","paired_difference_pp","within_equivalence_margin"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2030","accuracy_pct","higher_is_better","99.41069323904426","99.34640522875817","0.06428801028609143","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2031","accuracy_pct","higher_is_better","99.41069323904426","99.42140790742526","-0.01071466838099866","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2032","accuracy_pct","higher_is_better","99.39997857066324","99.3035465552341","0.09643201542913005","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2033","accuracy_pct","higher_is_better","99.37854923390121","99.31426122361513","0.06428801028607722","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2034","accuracy_pct","higher_is_better","99.3678345655202","99.50712525447337","-0.13929068895316732","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2035","accuracy_pct","higher_is_better","99.39997857066324","99.41069323904426","-0.010714668381027082","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2026","macro_f1_pct","higher_is_better","98.45892991585819","98.6154722837838","-0.15654236792560994","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2027","macro_f1_pct","higher_is_better","98.57861763651444","98.51935737901817","0.059260257496262625","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2028","macro_f1_pct","higher_is_better","98.43769665655961","98.60670246844033","-0.16900581188072294","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2029","macro_f1_pct","higher_is_better","98.55095634925966","98.7665343109438","-0.2155779616841329","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2030","macro_f1_pct","higher_is_better","98.50906857273606","98.4999683582495","0.009100214486551295","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2031","macro_f1_pct","higher_is_better","98.47014509681607","98.52534956041298","-0.055204463596908226","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2032","macro_f1_pct","higher_is_better","98.47597711382441","98.38208334971831","0.09389376410609884","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2033","macro_f1_pct","higher_is_better","98.4422035338874","98.37823590647518","0.06396762741221096","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2034","macro_f1_pct","higher_is_better","98.36772640178413","98.62931748058313","-0.26159107879900034","False"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2035","macro_f1_pct","higher_is_better","98.54279872752","98.45235634202555","0.09044238549444117","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2026","cross_host_error_pct","lower_is_better","0.021429336762027216","0.05357334190506804","-0.03214400514304082","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2027","cross_host_error_pct","lower_is_better","0.021429336762027216","0.021429336762027216","0.0","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2028","cross_host_error_pct","lower_is_better","0.021429336762027216","0.03214400514304082","-0.010714668381013603","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2029","cross_host_error_pct","lower_is_better","0.021429336762027216","0.021429336762027216","0.0","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2030","cross_host_error_pct","lower_is_better","0.021429336762027216","0.06428801028608164","-0.042858673524054425","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2031","cross_host_error_pct","lower_is_better","0.021429336762027216","0.06428801028608164","-0.042858673524054425","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2032","cross_host_error_pct","lower_is_better","0.03214400514304082","0.021429336762027216","0.010714668381013603","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2033","cross_host_error_pct","lower_is_better","0.021429336762027216","0.04285867352405443","-0.021429336762027216","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2034","cross_host_error_pct","lower_is_better","0.021429336762027216","0.021429336762027216","0.0","True"
"NPD-Rice-COCO-43","dual_none_minus_flat","dual_none","flat","2035","cross_host_error_pct","lower_is_better","0.03214400514304082","0.03214400514304082","0.0","True"
