"dataset","configuration","seed","calibration","nonempty_bin_index","mean_confidence","observed_accuracy","sample_fraction"
"NPD-Rice-COCO-43","flat","2030","raw","8","0.9068698498147414","0.7027027027027027","0.003964427300975035"
"NPD-Rice-COCO-43","flat","2030","raw","9","0.9995833398822929","0.9968570499620678","0.9886424515161256"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","0","0.3717127309090923","0.25","0.0004285867352405443"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","1","0.444261891174504","0.6","0.0005357334190506804"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","2","0.508936647963941","0.6666666666666666","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","3","0.562724838554772","0.7333333333333333","0.0016072002571520412"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","4","0.6364519590419229","0.7333333333333333","0.0016072002571520412"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","5","0.7026228174483241","0.6470588235294118","0.0018214936247723133"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","6","0.7626098212313848","0.8","0.002678667095253402"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","7","0.8353918647452885","0.782608695652174","0.004928747455266259"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","8","0.9064262006274911","0.8780487804878049","0.008786028072431158"
"NPD-Rice-COCO-43","flat","2030","temperature_scaled","9","0.9992922527826621","0.9984640702139331","0.9766420229293903"
"NPD-Rice-COCO-43","flat","2031","raw","0","0.39696907562927425","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2031","raw","1","0.5171330229529439","1.0","0.0003214400514304082"
"NPD-Rice-COCO-43","flat","2031","raw","2","0.5696779610170098","0.5555555555555556","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2031","raw","3","0.6405895339322966","0.5","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2031","raw","4","0.6955533592383948","0.5714285714285714","0.0007500267866709525"
"NPD-Rice-COCO-43","flat","2031","raw","5","0.7684247292214114","0.4117647058823529","0.0018214936247723133"
"NPD-Rice-COCO-43","flat","2031","raw","6","0.832304280916498","0.8888888888888888","0.0009643201542912247"
"NPD-Rice-COCO-43","flat","2031","raw","7","0.9084774312333797","0.7714285714285715","0.0037501339333547625"
"NPD-Rice-COCO-43","flat","2031","raw","8","0.9996389812655275","0.9975118996105582","0.9904639451408979"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","0","0.3550514893814144","0.0","0.00010714668381013607"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","1","0.5001418672598664","0.625","0.0008571734704810886"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","2","0.5606526845693546","0.5333333333333333","0.0016072002571520412"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","3","0.635177238767769","0.5","0.001500053573341905"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","4","0.7075555017652584","0.6875","0.0017143469409621772"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","5","0.771294101585601","0.8","0.0016072002571520412"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","6","0.8399063963608424","0.7058823529411765","0.0036429872495446266"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","7","0.906467971698903","0.8793103448275862","0.006214507660987892"
"NPD-Rice-COCO-43","flat","2031","temperature_scaled","8","0.9993106208540438","0.9988006977758395","0.9827493839065681"
