"dataset","configuration","calibration","metric","seeds","mean","std","t_95ci_lower","t_95ci_upper"
"Agri-Foundation-145k","dual_none","temperature_scaled","aurc","10","0.007091192140984685","0.00017683654057291587","0.006964690900454763","0.007217693381514608"
"Agri-Foundation-145k","flat","raw","ece15_pct","10","5.446297708807115","0.1910711230046308","5.309613661430804","5.582981756183425"
"Agri-Foundation-145k","flat","raw","nll","10","0.47487251207050774","0.025769073431520215","0.4564384274303491","0.49330659671066635"
"Agri-Foundation-145k","flat","raw","multiclass_brier","10","0.12999468510780046","0.0010308740907089002","0.1292572422078074","0.13073212800779352"
"Agri-Foundation-145k","flat","raw","aurc","10","0.007185572502154044","0.0002890212143460073","0.006978819180494492","0.007392325823813597"
"Agri-Foundation-145k","flat","temperature_scaled","ece15_pct","10","1.7009863694970584","0.15687680725351874","1.588763462038852","1.8132092769552648"
"Agri-Foundation-145k","flat","temperature_scaled","nll","10","0.31143295820052586","0.003881325145020173","0.30865642545364946","0.31420949094740225"
"Agri-Foundation-145k","flat","temperature_scaled","multiclass_brier","10","0.11387767996127725","0.0015841031674200972","0.11274448082066528","0.11501087910188922"
"Agri-Foundation-145k","flat","temperature_scaled","aurc","10","0.007286066539847413","0.00025535860458754286","0.007103393998552168","0.007468739081142658"
"NPD-Rice-COCO-43","dual_none","raw","ece15_pct","10","0.39649583929495164","0.046572221979196825","0.3631800786749112","0.42981159991499207"
"NPD-Rice-COCO-43","dual_none","raw","nll","10","0.026760112400071805","0.0023406194713214905","0.0250857340969712","0.02843449070317241"
"NPD-Rice-COCO-43","dual_none","raw","multiclass_brier","10","0.010054892028371423","0.0007575087504709982","0.009513002912375395","0.01059678114436745"
"NPD-Rice-COCO-43","dual_none","raw","aurc","10","0.00015788153251971893","0.0001357300154583408","6.07861286116907e-05","0.00025497693642774716"
"NPD-Rice-COCO-43","dual_none","temperature_scaled","ece15_pct","10","0.22030578574468912","0.06541365908881623","0.17351167296953748","0.26709989851984073"
"NPD-Rice-COCO-43","dual_none","temperature_scaled","nll","10","0.020955809576502827","0.0014737035745991881","0.019901585547033595","0.02201003360597206"
"NPD-Rice-COCO-43","dual_none","temperature_scaled","multiclass_brier","10","0.009549045402765093","0.0006715151347150729","0.009068672413670976","0.01002941839185921"
"NPD-Rice-COCO-43","dual_none","temperature_scaled","aurc","10","0.00015638251466277862","0.00013573594748523868","5.9282867238342465e-05","0.00025348216208721477"
"NPD-Rice-COCO-43","flat","raw","ece15_pct","10","0.3957466391249635","0.04741581250453559","0.36182741019679565","0.42966586805313134"
"NPD-Rice-COCO-43","flat","raw","nll","10","0.026362106711569445","0.002893259409021611","0.024292393612510094","0.028431819810628797"
"NPD-Rice-COCO-43","flat","raw","multiclass_brier","10","0.010041537521697456","0.001093435919838724","0.009259340585185112","0.0108237344582098"
"NPD-Rice-COCO-43","flat","raw","aurc","10","0.0001519470975770154","0.00018854221084999744","1.7072124975160024e-05","0.0002868220701788708"
"NPD-Rice-COCO-43","flat","temperature_scaled","ece15_pct","10","0.1924521009947548","0.04952890988991843","0.15702125325892746","0.22788294873058212"
"NPD-Rice-COCO-43","flat","temperature_scaled","nll","10","0.02092165050976656","0.0019341089083348645","0.019538072345255644","0.022305228674277474"
"NPD-Rice-COCO-43","flat","temperature_scaled","multiclass_brier","10","0.009561294401028835","0.0010202992547077244","0.008831416282998907","0.010291172519058762"
"NPD-Rice-COCO-43","flat","temperature_scaled","aurc","10","0.00015814315994165597","0.00020469314828536797","1.1714502707222654e-05","0.0003045718171760893"
