class_index,class_name,host_name,training_images,test_images,frequency_bin,dual_f1_pct_mean,flat_f1_pct_mean,dual_minus_flat_f1_pp
162,soybean_brown_spot,soybean,38,13,26--100,71.3787162852731,75.25101539584298,-3.872299110569884
33,broccoli_broccoli_downy_mildew,broccoli,18,6,1--25,0.0,4.166666666666666,-4.166666666666666
30,blueberry_scorch,blueberry,26,9,26--100,65.64989680082559,70.32301341589267,-4.673116615067087
103,ginger_ginger_sheath_blight,ginger,42,14,26--100,22.45129783727259,27.18679444052443,-4.735496603251839
199,wheat_wheat_bacterial_streak_(black_chaff)black_chaff_(),wheat,10,4,1--25,47.57142857142857,53.095238095238095,-5.5238095238095255
105,ginger_sheath_blight,ginger,12,4,1--25,26.547619047619047,32.42857142857143,-5.880952380952383
104,ginger_ginger_spot,ginger,16,5,1--25,29.14285714285714,35.42207792207792,-6.279220779220779
44,carrot_carrot_cercospora_blight_bing,carrot,10,4,1--25,28.452380952380953,34.904761904761905,-6.4523809523809526
53,cauliflower_cauliflower_alternaria_spot,cauliflower,29,9,26--100,4.314663664508865,10.831441348469212,-6.516777683960347
214,zucchini_zucchini_yellow_mosaic_virus,zucchini,61,19,26--100,29.723515300423855,36.70810412217105,-6.984588821747195
35,broccoli_downy_mildew,broccoli,22,8,1--25,1.5384615384615385,10.948717948717949,-9.41025641025641
152,raspberry_gray_mold,raspberry,24,8,1--25,55.600140056022404,65.22918816649467,-9.629048110472262
116,lettuce_downy_mildew,lettuce,19,7,1--25,1.6666666666666665,12.923945335710041,-11.257278669043375
190,tomato_two_spotted_spider_mites,tomato,1,1,1--25,10.0,30.0,-20.0
