dataset,configuration,configuration_label,seed,test_samples,host_accuracy_pct,pre_tci_hdr_pct,post_tci_hdr_pct,standard_accuracy_pct,tci_accuracy_pct,delta_accuracy_pp,standard_macro_f1_pct,tci_macro_f1_pct,delta_macro_f1_pp,standard_cher_pct,tci_cher_pct,delta_cher_pp,changed_predictions
MultiCrop-88,dual_none,"Dual, no penalty",2029,7769,99.70395160252285,0.10297335564422706,0.0,97.76032951473806,97.734586175827,-0.025743338911055957,95.67532880509788,95.56804631095149,-0.10728249414638924,0.2960483974771528,0.2960483974771528,0.0,8
MultiCrop-88,dual_none,"Dual, no penalty",2030,7769,99.7296949414339,0.10297335564422706,0.0,97.6444844896383,97.65735615909384,0.012871669455535084,94.83125153378292,94.99489495517199,0.16364342138906807,0.270305058566096,0.270305058566096,0.0,8
MultiCrop-88,dual_none,"Dual, no penalty",2031,7769,99.6782082636118,0.07723001673317029,0.0,97.74745784528254,97.70884283691595,-0.03861500836659104,95.25180328761756,95.13264159202348,-0.11916169559408729,0.2831767280216244,0.32179173638820957,0.03861500836658516,6
MultiCrop-88,dual_none,"Dual, no penalty",2032,7769,99.74256661088943,0.0643583472776419,0.0,97.88904620929334,97.86330287038228,-0.025743338911055957,95.397340892425,95.28681487548715,-0.11052601693785391,0.2574333891105676,0.2574333891105676,0.0,5
MultiCrop-88,dual_none,"Dual, no penalty",2033,7769,99.74256661088943,0.10297335564422706,0.0,97.81181619256017,97.82468786201571,0.012871669455535084,95.62270183696756,95.64987706649414,0.027175229526577027,0.270305058566096,0.2574333891105676,-0.012871669455528367,8
MultiCrop-88,dual_none,"Dual, no penalty",2034,7769,99.70395160252285,0.15446003346634057,0.0,97.68309949800489,97.734586175827,0.051486677822111915,95.79271856561941,95.80594415207436,0.013225586454950644,0.38615008366585146,0.2960483974771528,-0.09010168618869868,12
MultiCrop-88,dual_none,"Dual, no penalty",2035,7769,99.71682327197837,0.10297335564422706,0.0,97.65735615909384,97.70884283691595,0.051486677822111915,95.48441185208785,95.52918314749786,0.044771295410015455,0.3475350752992663,0.2831767280216244,-0.06435834727764189,8
NPD-Rice-COCO-43,dual_kl,Dual + KL(q || p^h),2026,9333,99.97857066323797,0.0,0.0,99.32497589199615,99.32497589199615,0.0,98.37240996766413,98.37240996766413,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_kl,Dual + KL(q || p^h),2027,9333,99.97857066323797,0.0,0.0,99.43212257580628,99.43212257580628,0.0,98.54500384503034,98.54500384503034,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_kl,Dual + KL(q || p^h),2028,9333,99.96785599485696,0.010714668381013608,0.0,99.3678345655202,99.37854923390121,0.01071466838101287,98.49113212557701,98.50058601996211,0.009453894385103467,0.04285867352405443,0.03214400514304082,-0.010714668381013613,1
NPD-Rice-COCO-43,dual_kl,Dual + KL(q || p^h),2029,9333,99.97857066323797,0.0,0.0,99.32497589199615,99.32497589199615,0.0,98.29256693540678,98.29256693540678,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_kl,Dual + KL(q || p^h),2030,9333,99.97857066323797,0.0,0.0,99.37854923390121,99.37854923390121,0.0,98.49010822550107,98.49010822550107,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_mae,Dual + MAE,2026,9333,99.97857066323797,0.0,0.0,99.34640522875817,99.34640522875817,0.0,98.35916051851666,98.35916051851666,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_mae,Dual + MAE,2027,9333,99.97857066323797,0.0,0.0,99.41069323904426,99.41069323904426,0.0,98.42099325103891,98.42099325103891,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_mae,Dual + MAE,2028,9333,99.97857066323797,0.0,0.0,99.34640522875817,99.34640522875817,0.0,98.3305391593776,98.3305391593776,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_mae,Dual + MAE,2029,9333,99.96785599485696,0.0,0.0,99.42140790742526,99.42140790742526,0.0,98.57535311884955,98.57535311884955,0.0,0.03214400514304082,0.03214400514304082,0.0,0
NPD-Rice-COCO-43,dual_mae,Dual + MAE,2030,9333,99.97857066323797,0.0,0.0,99.42140790742526,99.42140790742526,0.0,98.56956728228954,98.56956728228954,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2026,9333,99.97857066323797,0.0,0.0,99.34640522875817,99.34640522875817,0.0,98.45892991585819,98.45892991585819,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2027,9333,99.97857066323797,0.010714668381013608,0.0,99.4535519125683,99.4535519125683,0.0,98.57861763651444,98.57831090424936,-0.00030673226507360596,0.021429336762027216,0.021429336762027216,0.0,1
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2028,9333,99.97857066323797,0.0,0.0,99.43212257580628,99.43212257580628,0.0,98.43769665655961,98.43769665655961,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2029,9333,99.97857066323797,0.0,0.0,99.37854923390121,99.37854923390121,0.0,98.55095634925966,98.55095634925966,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2030,9333,99.97857066323797,0.0,0.0,99.41069323904426,99.41069323904426,0.0,98.50906857273606,98.50906857273606,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2031,9333,99.97857066323797,0.010714668381013608,0.0,99.41069323904426,99.41069323904426,0.0,98.47014509681607,98.46979942219674,-0.00034567461932510923,0.021429336762027216,0.021429336762027216,0.0,1
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2032,9333,99.97857066323797,0.010714668381013608,0.0,99.39997857066324,99.41069323904426,0.010714668381027082,98.47597711382441,98.48558691336302,0.009609799538608854,0.03214400514304082,0.021429336762027216,-0.010714668381013603,1
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2033,9333,99.97857066323797,0.0,0.0,99.37854923390121,99.37854923390121,0.0,98.4422035338874,98.4422035338874,0.0,0.021429336762027216,0.021429336762027216,0.0,0
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2034,9333,99.97857066323797,0.010714668381013608,0.0,99.3678345655202,99.3678345655202,0.0,98.36772640178413,98.3672185081876,-0.0005078935965201481,0.021429336762027216,0.021429336762027216,0.0,1
NPD-Rice-COCO-43,dual_none,"Dual, no penalty",2035,9333,99.96785599485696,0.0,0.0,99.39997857066324,99.39997857066324,0.0,98.54279872752,98.54279872752,0.0,0.03214400514304082,0.03214400514304082,0.0,0
